conv_id	condition	step_n	nugget_count	intervention_type	question	answer	other	cooking_technique	equipment	ingredient	knowledge	meal	misc	preparation	recipe	temperature	time
o9UbVjHVrS	active	3	5	statement	4	9	7	1	1	0	1	0	0	1	0	0	0
o9UbVjHVrS	active	3	0	statement	1	2	3	1	0	0	0	0	0	0	0	0	0
o9UbVjHVrS	active	3	2	statement	4	4	6	0	0	0	2	0	0	0	0	0	0
o9UbVjHVrS	active	3	0	statement	1	4	1	0	0	0	1	0	0	0	0	0	0
o9UbVjHVrS	active	3	3	statement	1	3	2	0	0	0	1	0	0	0	0	0	0
rEG2v4CE7m	active	1	3	statement	3	5	12	0	0	0	0	0	0	0	1	0	1
rEG2v4CE7m	active	1	0	question	1	1	3	0	0	0	0	0	0	0	0	0	0
rEG2v4CE7m	active	2	1	statement	1	2	9	0	0	0	1	0	0	0	0	0	0
rEG2v4CE7m	active	2	0	question	1	2	3	0	0	0	0	0	0	0	0	0	0
rEG2v4CE7m	active	5	1	statement	1	1	4	0	0	0	1	0	0	0	0	0	0
rEG2v4CE7m	active	5	2	question	1	2	4	0	0	0	0	0	0	0	0	0	0
rEG2v4CE7m	active	6	1	statement	3	6	14	0	0	0	2	0	0	0	0	0	0
rEG2v4CE7m	active	8	0	statement	1	0	5	0	0	0	0	0	0	1	0	0	0
rEG2v4CE7m	active	8	1	statement	1	2	3	0	0	0	0	0	0	0	0	0	1
rEG2v4CE7m	active	8	3	question	1	2	2	0	0	0	0	0	0	0	0	0	0
rEG2v4CE7m	active	9	0	statement	0	0	8	0	0	0	0	0	0	0	0	0	0
rEG2v4CE7m	active	9	3	question	1	1	5	0	0	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	1	0	statement	1	1	4	0	0	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	1	0	statement	0	0	2	0	0	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	1	1	question	1	1	2	0	0	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	1	2	statement	0	0	4	0	0	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	3	1	question	0	0	6	0	0	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	4	3	question	3	3	3	0	1	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	4	0	question	1	1	0	0	0	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	4	0	question	2	3	2	0	0	0	0	0	0	0	0	0	0
XYjHSL2Ky3	active	5	0	statement	0	0	3	0	0	0	0	0	0	0	0	0	0
8nJXjVjBTQ	active	1	2	statement	8	10	11	0	1	0	3	0	0	4	0	0	0
8nJXjVjBTQ	active	2	10	question	4	9	5	0	0	0	3	0	0	0	0	0	0
8nJXjVjBTQ	active	2	1	question	2	1	2	0	0	0	0	0	0	1	0	0	0
8nJXjVjBTQ	active	3	3	statement	6	9	2	0	0	3	0	0	0	3	0	0	0
8nJXjVjBTQ	active	4	1	statement	3	4	3	0	0	1	0	0	0	1	0	0	0
8nJXjVjBTQ	active	4	4	statement	3	6	1	0	0	2	0	0	0	1	0	0	0
5ed91d3f31d9c60a8ac27018	active	3	1	question	2	2	3	0	0	0	1	0	0	0	0	0	0
5ed91d3f31d9c60a8ac27018	active	4	6	question	4	7	11	0	0	0	2	0	0	0	0	0	0
5ed91d3f31d9c60a8ac27018	active	5	0	question	2	4	1	0	0	1	0	0	0	0	0	0	0
5ed91d3f31d9c60a8ac27018	active	5	0	question	1	0	0	0	0	0	0	0	0	0	0	0	0
5ed91d3f31d9c60a8ac27018	active	5	0	question	3	2	3	0	0	0	1	0	0	0	0	0	0
5ed91d3f31d9c60a8ac27018	active	5	1	question	2	4	2	0	0	0	1	0	0	0	0	0	0
612517df29cd32c6632b4a44	active	0	1	question	2	1	5	0	0	1	0	0	0	0	0	0	0
612517df29cd32c6632b4a44	active	2	3	question	3	2	6	0	0	0	1	0	0	0	0	0	0
612517df29cd32c6632b4a44	active	3	0	statement	2	2	6	0	0	0	1	0	0	0	0	0	0
612517df29cd32c6632b4a44	active	7	1	statement	1	1	5	0	0	0	1	0	0	0	0	0	0
612517df29cd32c6632b4a44	active	8	0	statement	1	1	4	0	0	0	0	0	0	0	0	0	0
612517df29cd32c6632b4a44	active	11	2	question	2	1	6	0	0	0	1	0	0	0	0	0	0
612517df29cd32c6632b4a44	active	12	1	question	2	1	6	0	0	1	0	0	0	0	0	0	0
612517df29cd32c6632b4a44	active	15	3	statement	1	3	5	0	0	2	0	0	0	0	0	0	0
57272517e386b9000e3e2b72	active	2	4	question	6	5	4	1	0	0	4	0	0	0	0	0	0
57272517e386b9000e3e2b72	active	3	1	statement	3	4	6	0	0	0	3	0	0	0	0	0	0
57272517e386b9000e3e2b72	active	7	0	question	2	3	5	0	0	0	2	0	0	0	0	0	0
5e45a7e926e79c000bc12a85	active	2	5	question	4	9	7	0	0	0	2	0	0	0	0	0	0
5e45a7e926e79c000bc12a85	active	3	4	statement	3	8	5	0	0	0	1	0	0	1	0	0	0
j6iz4akqr2	active	0	6	question	5	9	4	0	0	0	3	0	0	1	1	0	0
j6iz4akqr2	active	1	0	statement	2	2	3	0	0	0	0	0	0	0	0	0	0
j6iz4akqr2	active	4	2	statement	1	1	5	0	0	0	1	0	0	0	0	0	0
ozf8rdojjw	active	1	6	statement	3	7	5	0	0	0	3	0	0	0	0	0	0
ozf8rdojjw	active	1	1	question	2	5	2	0	0	0	1	0	0	0	0	0	0
ozf8rdojjw	active	2	1	question	2	3	3	0	1	0	0	0	0	0	0	0	0
ozf8rdojjw	active	2	0	statement	0	0	4	0	0	0	0	0	0	0	0	0	0
ozf8rdojjw	active	3	1	statement	2	2	7	0	1	0	0	0	0	0	0	0	0
v684ge8cmo	active	1	1	statement	2	4	2	1	0	0	1	0	0	0	0	0	0
v684ge8cmo	active	1	1	statement	0	0	3	0	0	0	0	0	0	0	0	0	0
v684ge8cmo	active	3	1	statement	2	2	1	1	0	0	1	0	0	0	0	0	0
v684ge8cmo	active	3	1	statement	2	2	2	0	0	0	1	0	0	0	0	0	0
v684ge8cmo	active	4	3	statement	2	3	4	1	0	0	1	0	0	0	0	0	0
v684ge8cmo	active	5	3	statement	1	1	4	0	0	0	1	0	0	0	0	0	0
eiRY3df7Aq	active	3	2	statement	2	3	4	1	0	0	0	0	0	1	0	0	0
eiRY3df7Aq	active	7	1	statement	1	1	5	0	0	0	1	0	0	0	0	0	0
eiRY3df7Aq	active	15	4	statement	0	0	8	0	0	0	0	0	0	0	0	0	0
eiRY3df7Aq	active	16	0	statement	2	5	4	0	0	0	2	0	0	0	0	0	0
eiRY3df7Aq	active	17	1	statement	1	2	5	0	0	1	0	0	0	0	0	0	0
ABFwuoU	active	2	1	question	3	1	3	0	0	0	1	0	0	0	0	0	0
ABFwuoU	active	2	11	question	4	1	13	0	0	0	2	0	0	0	0	0	0
ABFwuoU	active	2	0	statement	1	2	1	1	0	0	0	0	0	0	0	0	0
ABFwuoU	active	3	3	statement	4	5	9	2	0	0	0	0	0	0	0	0	0
rfAHhxd	active	1	0	statement	3	4	6	2	0	0	0	0	0	0	0	0	0
rfAHhxd	active	1	0	question	2	0	0	0	0	0	1	0	0	0	0	0	0
rfAHhxd	active	1	4	statement	2	6	6	0	0	0	0	0	0	0	0	0	0
rfAHhxd	active	3	5	question	4	10	9	0	0	0	0	0	0	1	0	2	0
rfAHhxd	active	3	0	statement	1	1	5	0	0	0	0	0	0	1	0	0	0
rfAHhxd	active	3	1	question	2	1	3	0	0	0	1	0	0	0	0	0	0
rfAHhxd	active	4	0	statement	1	1	11	0	0	0	0	0	0	0	0	0	0
INfBowH	active	1	5	statement	4	7	4	0	0	0	1	0	0	0	0	0	0
INfBowH	active	3	1	question	2	3	8	0	0	0	0	0	0	0	0	0	0
INfBowH	active	4	2	statement	5	7	9	0	0	0	1	0	0	2	0	0	0
cegcgsG	active	1	0	statement	1	2	6	0	0	1	0	0	0	0	0	0	0
cegcgsG	active	1	0	question	1	1	4	0	0	0	0	0	0	0	0	0	0
cegcgsG	active	3	6	question	5	9	6	0	0	0	3	0	0	0	0	0	0
cegcgsG	active	3	0	statement	0	0	4	0	0	0	0	0	0	0	0	0	0
cegcgsG	active	3	0	question	2	1	4	0	0	0	1	0	0	0	0	0	0
cegcgsG	active	5	3	statement	1	2	5	0	1	0	0	0	0	0	0	0	0
cegcgsG	active	5	0	question	2	1	3	0	0	0	1	0	0	0	0	0	0
tLrorpH	active	1	1	question	5	11	4	0	0	0	2	0	0	1	0	0	0
tLrorpH	active	2	7	statement	7	11	4	1	0	0	2	0	0	0	0	0	1
tLrorpH	active	6	5	statement	3	4	3	0	0	0	2	0	0	0	0	0	0
tLrorpH	active	8	15	statement	4	7	5	0	0	0	3	0	0	0	0	1	0
1vNO49Y	active	0	5	statement	5	6	11	0	0	2	0	0	0	0	0	0	0
1vNO49Y	active	2	2	statement	0	0	9	0	0	0	0	0	0	0	0	0	0
1vNO49Y	active	2	1	statement	2	1	3	0	0	0	1	0	0	0	0	0	0
1vNO49Y	active	11	2	question	2	2	4	0	0	1	0	0	0	0	0	0	0
1vNO49Y	active	13	1	question	1	2	4	0	0	0	0	0	0	0	0	0	0
1vNO49Y	active	13	1	statement	0	0	6	0	0	0	0	0	0	0	0	0	0
1vNO49Y	active	16	1	statement	1	1	4	0	0	0	1	0	0	0	0	0	0
ea5def48	active	1	1	statement	7	9	3	0	0	2	0	0	0	0	0	0	2
ea5def48	active	3	0	statement	3	4	5	0	0	0	1	0	0	2	0	0	0
ea5def48	active	3	4	statement	3	2	2	0	2	0	0	0	0	0	0	0	0
c70f521	active	0	1	question	4	3	8	0	0	1	0	0	0	0	0	0	0
c70f521	active	1	4	question	1	1	8	0	0	0	0	0	0	0	0	0	0
c70f521	active	2	2	question	3	3	6	0	0	1	0	0	0	0	0	0	0
c70f521	active	4	0	statement	0	0	3	0	0	0	0	0	0	0	0	0	0
c70f521	active	4	0	question	4	4	5	0	0	0	1	0	0	1	0	0	0
4f7f5758	active	0	2	question	6	7	9	0	2	1	0	0	0	1	0	0	0
4f7f5758	active	3	0	statement	1	1	3	0	0	0	0	0	0	1	0	0	0
4f7f5758	active	4	0	statement	2	4	3	0	0	1	0	0	0	0	0	0	0
a9780bf6	active	22	1	question	4	3	3	0	0	0	0	0	0	0	0	0	0
a9780bf6	active	22	0	statement	2	1	5	0	0	0	0	0	0	0	0	0	0
a9780bf6	active	22	0	statement	0	1	2	0	0	0	0	0	0	0	0	0	0
a9780bf6	active	22	2	question	9	8	6	0	0	0	1	0	0	1	0	0	0
2424a396	active	4	4	statement	3	2	8	0	0	1	1	0	0	0	0	0	0
2424a396	active	5	1	question	3	3	5	0	0	0	1	0	0	0	0	0	1
2424a396	active	8	0	statement	0	0	6	0	0	0	0	0	0	0	0	0	0
